geolocation_zip_code_prefix,lat,lng,city,state
01001,-23.550107322782644,-46.63402704170751,sao paulo,SP
01002,-23.54822752192854,-46.63524674639332,sao paulo,SP
01003,-23.548976041765286,-46.63531755467713,sao paulo,SP
01004,-23.549550003606676,-46.634770582289825,sao paulo,SP
01005,-23.54968972289983,-46.63653202553522,sao paulo,SP
01006,-23.550317224536894,-46.63622549584506,sao paulo,SP
01007,-23.550357583126537,-46.63730164071784,sao paulo,SP
01008,-23.545395979326535,-46.635598592835734,sao paulo,SP
01009,-23.546340513734236,-46.63623850320264,sao paulo,SP
01010,-23.54651967554392,-46.63537497475324,sao paulo,SP
01011,-23.546690486964888,-46.6354469588072,sao paulo,SP
01012,-23.54774227061568,-46.63482872807575,sao paulo,SP
01013,-23.547271573273115,-46.63423572661436,sao paulo,SP
01014,-23.546340786283146,-46.63351650721335,sao paulo,SP
01015,-23.54786209762537,-46.63300077484273,sao paulo,SP
01016,-23.549283671100515,-46.631921331563774,sao paulo,SP
01017,-23.549466383850742,-46.631186758814685,sao paulo,SP
01018,-23.55158623535693,-46.63270720967747,sao paulo,SP
01019,-23.551698499033378,-46.630866968016015,sao paulo,SP
01020,-23.552482452132203,-46.62938955675458,sao paulo,SP
01021,-23.542320771856424,-46.63213185263137,sao paulo,SP
01022,-23.54449190383172,-46.63218004371285,sao paulo,SP
01023,-23.54260295697964,-46.6313376895666,sao paulo,SP
01024,-23.541315283907174,-46.629899396748414,sao paulo,SP
01025,-23.540428325970968,-46.63152530492911,sao paulo,SP
01026,-23.53943245268046,-46.632953890394745,sao paulo,SP
01027,-23.537980703156606,-46.63035127553522,sao paulo,SP
01028,-23.53624171663104,-46.6320595335853,sao paulo,SP
01029,-23.540724476686478,-46.6328817760257,sao paulo,SP
01030,-23.540921999999995,-46.63296206411218,sao paulo,SP
01031,-23.542110048011814,-46.634890086863116,sao paulo,SP
01032,-23.540623983625707,-46.63514262640531,sao paulo,SP
01033,-23.538603223019408,-46.635868193204004,sao paulo,SP
01034,-23.542391912574285,-46.63745558840666,sao paulo,SP
01035,-23.541659448943882,-46.64148171052852,sao paulo,SP
01036,-23.541625027468463,-46.64143354502572,sao paulo,SP
01037,-23.54580760698832,-46.63960229254423,sao paulo,SP
01038,-23.544139809596672,-46.64041077352986,sao paulo,SP
01039,-23.5417538351319,-46.63976074078128,sao paulo,SP
01040,-23.540876706359263,-46.6382183104334,sao paulo,SP
01041,-23.544184893415704,-46.63966881349182,sao paulo,SP
01042,-23.5448295725663,-46.64038839439666,sao paulo,SP
01043,-23.545650980855747,-46.641465617274434,sao paulo,SP
01044,-23.54562699916329,-46.64140988467314,sao paulo,SP
01045,-23.542482773295564,-46.64280268887412,sao paulo,SP
01046,-23.545731279214017,-46.64319019124005,sao paulo,SP
01047,-23.545879784349918,-46.640673717871785,sao paulo,SP
01048,-23.547103098115855,-46.639512925125544,sao paulo,SP
01049,-23.547761339719532,-46.64022954302037,sao paulo,SP
01050,-23.548956086877453,-46.64319114259332,sao paulo,SP
01101,-23.526091267557256,-46.63137211754856,sao paulo,SP
01102,-23.527952103944237,-46.630900325970956,sao paulo,SP
01103,-23.535408394396647,-46.62855836594724,sao paulo,SP
01104,-23.535039835131897,-46.62946211441802,sao paulo,SP
01105,-23.53427140341335,-46.62972092651232,sao paulo,SP
01106,-23.53104352553522,-46.6280616738848,sao paulo,SP
01107,-23.528019075076458,-46.62655988100866,sao paulo,SP
01108,-23.52756187663738,-46.629436653975944,sao paulo,SP
01109,-23.52450999194992,-46.62704378864908,sao paulo,SP
01120,-23.5288626813723,-46.64019685469452,sao paulo,SP
01121,-23.527241874271446,-46.63550866097296,sao paulo,SP
01122,-23.53120949639332,-46.63980763954922,sao paulo,SP
01123,-23.529344993334895,-46.636491483625704,sao paulo,SP
01124,-23.52847956731484,-46.63339392783772,sao paulo,SP
01125,-23.52623535137629,-46.64043299639333,sao paulo,SP
01126,-23.526906233423684,-46.63960905675459,sao paulo,SP
01127,-23.526121442682808,-46.64138590362969,sao paulo,SP
01128,-23.52390834277795,-46.64258274992788,sao paulo,SP
01129,-23.523768482370627,-46.6425945530037,sao paulo,SP
01130,-23.52352437163139,-46.64454366771019,sao paulo,SP
01131,-23.522898793770636,-46.644593715101834,sao paulo,SP
01132,-23.522867455450417,-46.64840659893825,sao paulo,SP
01133,-23.51965249624909,-46.65454102553522,sao paulo,SP
01134,-23.519144011108505,-46.65131035108782,sao paulo,SP
01135,-23.526582496249087,-46.65216092610854,sao paulo,SP
01136,-23.524483332361932,-46.66288140091753,sao paulo,SP
01137,-23.523141120869013,-46.65413736462004,sao paulo,SP
01138,-23.52198252178432,-46.65541993450284,sao paulo,SP
01139,-23.52060064946043,-46.66428988130433,sao paulo,SP
01140,-23.51869033443941,-46.66919713321603,sao paulo,SP
01141,-23.521739474464773,-46.667352862182,sao paulo,SP
01142,-23.51993430515264,-46.6251300217966,sao paulo,SP
01144,-23.52375579312963,-46.67203890632755,sao paulo,SP
01150,-23.53228028143572,-46.65840658367479,sao paulo,SP
01151,-23.530896822085754,-46.65703926395059,sao paulo,SP
01152,-23.53019187857062,-46.65604847051185,sao paulo,SP
01153,-23.531918029141906,-46.65213322446476,sao paulo,SP
01154,-23.530644214957597,-46.65970535227079,sao paulo,SP
01155,-23.5297665,-46.66282356142649,sao paulo,SP
01156,-23.530096042053742,-46.66441390210049,sao paulo,SP
01189,-23.53210825506378,-46.63839470107914,sao paulo,SP
01200,-23.531567773241413,-46.64986907784642,sao paulo,SP
01201,-23.53560024965375,-46.64955156015927,sao paulo,SP
01202,-23.53323440716426,-46.6486904462317,sao paulo,SP
01203,-23.53473037718564,-46.646282931098156,sao paulo,SP
01204,-23.538003498228328,-46.6426298049806,sao paulo,SP
01205,-23.534459286989968,-46.64401134944305,sao paulo,SP
01206,-23.536569999999955,-46.64270499999998,sao paulo,SP
01207,-23.53938724340701,-46.638472709821706,sao paulo,SP
01208,-23.538182474464776,-46.63853302504474,sao paulo,SP
01209,-23.54077376741302,-46.64188441687344,sao paulo,SP
01210,-23.53997818428648,-46.64242852914191,sao paulo,SP
01211,-23.53705769969416,-46.64947645115126,sao paulo,SP
01212,-23.537493461278807,-46.63974517262972,sao paulo,SP
01213,-23.536674628916863,-46.64054782737028,sao paulo,SP
01214,-23.538651213154253,-46.64550614911418,sao paulo,SP
01215,-23.536198100467452,-46.64808511296093,sao paulo,SP
01216,-23.533010790178288,-46.64654567790984,sao paulo,SP
01217,-23.53225462254023,-46.64894614279533,sao paulo,SP
01218,-23.530303980019028,-46.647862496393316,sao paulo,SP
01219,-23.541589587151577,-46.64532990556293,sao paulo,SP
01220,-23.544667702608344,-46.64647349999999,sao paulo,SP
01221,-23.54431365889549,-46.64862436372553,sao paulo,SP
01222,-23.54548114377627,-46.65018175916093,sao paulo,SP
01223,-23.543880251729398,-46.64949020517629,sao paulo,SP
01224,-23.54166498723239,-46.65232991838096,sao paulo,SP
01225,-23.53979052484273,-46.649065971550584,sao paulo,SP
01226,-23.538657070214704,-46.65309888814991,sao paulo,SP
01227,-23.55032645490217,-46.65992584456696,sao paulo,SP
01228,-23.549980767413025,-46.65981855309012,sao paulo,SP
01229,-23.539113681372296,-46.65672261893353,sao paulo,SP
01230,-23.5367325,-46.65783174091119,sao paulo,SP
01231,-23.537368424923542,-46.6596418411045,sao paulo,SP
01232,-23.536619550089497,-46.65947576276761,sao paulo,SP
01233,-23.5355196217035,-46.6617487209302,sao paulo,SP
01234,-23.53896304371285,-46.66413755835592,sao paulo,SP
01235,-23.53783720093491,-46.66494487440135,sao paulo,SP
01236,-23.544444562857105,-46.6673910215823,sao paulo,SP
01237,-23.54343710740668,-46.66857970266179,sao paulo,SP
01238,-23.543007034696153,-46.65341152553523,sao paulo,SP
01239,-23.547428842633717,-46.65555908895493,sao paulo,SP
01240,-23.54326998389984,-46.65985692991519,sao paulo,SP
01241,-23.54536418290148,-46.657642513460075,sao paulo,SP
01242,-23.546428428256085,-46.65830383749784,sao paulo,SP
01243,-23.54841592951117,-46.659449085204,sao paulo,SP
01244,-23.550313285042403,-46.660731585752266,sao paulo,SP
01245,-23.549494153044897,-46.663949435887815,sao paulo,SP
01246,-23.552958818901832,-46.666354641136216,sao paulo,SP
01247,-23.550644849847075,-46.66920043865777,sao paulo,SP
01248,-23.547336999163274,-46.66827995031453,sao paulo,SP
01249,-23.54903235165041,-46.67166332139766,sao paulo,SP
01250,-23.547925314602658,-46.67221266180968,sao paulo,SP
01251,-23.549025164579646,-46.675205392723214,sao paulo,SP
01252,-23.54173205190716,-46.68037022384439,sao paulo,SP
01253,-23.544687097350565,-46.67914691801201,sao paulo,SP
01254,-23.54454533250616,-46.68137076812207,sao paulo,SP
01255,-23.546383659992006,-46.68140007144644,sao paulo,SP
01256,-23.548154323330905,-46.683293049685474,sao paulo,SP
01257,-23.543760468055744,-46.68762746792957,sao paulo,SP
01258,-23.543963225085147,-46.686507651970594,sao paulo,SP
01259,-23.541088305585955,-46.68576437301637,sao paulo,SP
01262,-23.550856391462712,-46.67735184892536,sao paulo,SP
01290,-23.54096134139296,-46.657748702752585,sao paulo,SP
01301,-23.54834938856828,-46.65005365084539,sao paulo,SP
01302,-23.54937683458364,-46.65326713266776,sao paulo,SP
01303,-23.54916349570083,-46.64945164585375,sao paulo,SP
01304,-23.55419377837729,-46.65610690751051,sao paulo,SP
01305,-23.552635153903836,-46.65373301380634,sao paulo,SP
01306,-23.553605619755935,-46.64913409248948,sao paulo,SP
01307,-23.55241732556693,-46.65302768388245,sao paulo,SP
01308,-23.556145432685167,-46.65319084194123,sao paulo,SP
01309,-23.554620524006012,-46.65852362531019,sao paulo,SP
01310,-23.560579399244087,-46.657322801546584,sao paulo,SP
01311,-23.565312733005328,-46.651820893011674,sao paulo,SP
01312,-23.55484756048213,-46.64901226009967,sao paulo,SP
01313,-23.55667527866576,-46.650538823475145,sao paulo,SP
01314,-23.55281244060534,-46.6467823521409,sao paulo,SP
01315,-23.553624740492825,-46.640620058283815,sao paulo,SP
01316,-23.553013012767614,-46.639707025246764,sao paulo,SP
01317,-23.5601136150384,-46.64256496488549,sao paulo,SP
01318,-23.5646149612788,-46.646856093592774,sao paulo,SP
01319,-23.552010156818017,-46.641641123780985,sao paulo,SP
